Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,DOT_Hazard_Class,DOT_Numbers,RTECS_Number,Alternate_Names,Block,Group,Period,Series,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption
Hydrogen,H,1,1.00794,0.0899 g/l[note],-259.14 °C,-252.87 °C,Gas,14.01 K,20.28 K,1.293 MPa (12.76 Atm),32.97 K,0.558 kJ/mol,0.452 kJ/mol,14300 J/(kg K)[note],7/5,N/A,0.1805 W/(m K),N/A,N/A,0.01121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000132,1270 m/s,1,2.2,72.8 kJ/mol,2.1,1966,RTECSMW8900000,None,s,1,1,Nonmetal,1s1,Colorless,Diatomic,CAS1333-74-0,CID783,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-2.48×10-8 m3/Kg,-4.999×10-11 m3/mol,-2.23×10-9,75%,75%,2.4%,0.15%,11%,10%,53 pm,31 pm,120 pm,P63/mmc,194,Stable,Stable,N/A,2S1/2,0.332,0.011
Helium,He,2,4.002602,0.1785 g/l[note],N/A[note],-268.93 °C,Gas,N/A[note],4.22 K,0.227 MPa (2.24 Atm),5.19 K,0.02 kJ/mol,0.083 kJ/mol,5193.1 J/(kg K)[note],5/3,N/A,0.1513 W/(m K),N/A,N/A,0.022424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000035,970 m/s,0,N/A,0 kJ/mol,2.2,1963,RTECSMH6520000,None,s,18,1,Noble Gas,1s2,Colorless,Monoatomic,CAS7440-59-7,CID23987,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-5.9×10-9 m3/Kg,-2.36×10-11 m3/mol,-1.05×10-9,23%,23%,N/A,5.5×10-7%,7.2×10-10%,N/A,31 pm,28 pm,140 pm,"Fm_
3m",225,Stable,Stable,N/A,1S0,0.007,0.00001
Lithium,Li,3,6.941,0.535 g/cm3,180.54 °C,1342 °C,Solid,453.69 K,1615 K,67 MPa (661.2 Atm)[note],3223 K[note],3 kJ/mol,147 kJ/mol,3570 J/(kg K)[note],N/A,N/A,85 W/(m K),0.000046 K-1,0.512 g/cm3,0.00001297,N/A,0.6,N/A,11 GPa,4.2 GPa,4.9 GPa,N/A,N/A,6000 m/s,1,0.98,59.6 kJ/mol,4.3,1415,RTECSOJ5540000,None,s,1,2,Alkali Metal,[He]2s1,Silver,N/A,CAS7439-93-2,CID3028194,Conductor,1.1×107 S/m,9.400000000002×10-8 m Ω,N/A,Paramagnetic,N/A,2.56×10-8 m3/Kg,1.78×10-10 m3/mol,0.0000137,6×10-7%,6×10-9%,0.00017%,0.0017%,0.000018%,3×10-6%,167 pm,128 pm,182 pm,"Im_
3m",229,Stable,Stable,N/A,2S1/2,71,N/A
Beryllium,Be,4,9.012182,1.848 g/cm3,1287 °C,2470 °C,Solid,1560 K,2743 K,N/A,N/A,7.95 kJ/mol,297 kJ/mol,1820 J/(kg K)[note],N/A,N/A,190 W/(m K),0.0000113 K-1,1.69 g/cm3,4.8767×10-6,600 MPa,5.5,1670 MPa,130 GPa,132 GPa,287 GPa,0.032,N/A,13000 m/s,2,1.57,0 kJ/mol,6.1,1567,RTECSDS1750000,None,s,2,2,Alkaline Earth Metal,[He]2s2,SlateGray,N/A,CAS7440-41-7,CID5460467,Conductor,2.5×107 S/m,3.999999999998×10-8 m Ω,0.026,Diamagnetic,N/A,-1.26×10-8 m3/Kg,-1.136×10-10 m3/mol,-0.00002328,1×10-7%,1×10-8%,2.9×10-6%,0.00019%,6×10-11%,4×10-8%,112 pm,96 pm,N/A,P63/mmc,194,Stable,Stable,N/A,1S0,0.0092,0.00003
Boron,B,5,10.811,2.46 g/cm3,2075 °C,4000 °C,Solid,2348 K,4273 K,N/A,N/A,50 kJ/mol,507 kJ/mol,1030 J/(kg K)[note],N/A,N/A,27 W/(m K),6×10-6 K-1,2.08 g/cm3,4.3943×10-6,N/A,9.3,49000 MPa,320 GPa,N/A,N/A,N/A,N/A,16200 m/s,3,2.04,26.7 kJ/mol,N/A,N/A,RTECSED7350000,None,p,13,2,Metalloid,[He]2s22p1,Black,N/A,CAS7440-42-8,CID5462311,Insulator,0.0001 S/m,10000 m Ω,N/A,Diamagnetic,N/A,-8.7×10-9 m3/Kg,-9.41×10-11 m3/mol,-0.0000214,1×10-7%,2×10-7%,0.00016%,0.00086%,0.00044%,0.00007%,87 pm,85 pm,N/A,"R_
3m",166,Stable,Stable,N/A,2P1/2,760,2.4
Carbon,C,6,12.0107,2.26 g/cm3[note],3550 °C[note],4027 °C[note],Solid,3823 K[note],4300 K[note],N/A,N/A,105 kJ/mol,715 kJ/mol,710 J/(kg K)[note],N/A,N/A,140 W/(m K),7.1×10-6 K-1[note],N/A,5.3146×10-6,N/A,0.5[note],N/A,33 GPa,N/A,N/A,N/A,2.417[note],18350 m/s,4,2.55,153.9 kJ/mol,4.2,1361,RTECSHL4158550,None,p,14,2,Nonmetal,[He]2s22p2,Black,N/A,CAS7440-44-0,CID5462310,Conductor[note],100000 S/m[note],0.00001 m Ω[note],N/A,Diamagnetic,N/A,-6.2×10-9 m3/Kg,-7.45×10-11 m3/mol,-0.000014,0.5%,0.3%,1.5%,0.18%,0.0028%,23%,67 pm,76 pm,170 pm,P63/mmc,194,Stable,Stable,N/A,3P0,0.0035,0.000015
Nitrogen,N,7,14.0067,1.251 g/l[note],-210.1 °C,-195.79 °C,Gas,63.05 K,77.36 K,3.39 MPa (33.46 Atm),126.21 K,0.36 kJ/mol,2.79 kJ/mol,1040 J/(kg K)[note],7/5,N/A,0.02583 W/(m K),N/A,N/A,0.011197,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000298,333.6 m/s,3,3.04,7 kJ/mol,2.2,1977,RTECSQW9700000,None,p,15,2,Nonmetal,[He]2s22p3,Colorless,Diatomic,CAS7727-37-9,CID947,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-5.4×10-9 m3/Kg,-1.5×10-10 m3/mol,-6.8×10-9,0.1%,0.1%,0.14%,0.002%,0.00005%,2.6%,56 pm,71 pm,155 pm,P63/mmc,194,Stable,Stable,N/A,4S3/2,1.91,0.0048
Oxygen,O,8,15.9994,1.429 g/l[note],-218.3 °C,-182.9 °C,Gas,54.8 K,90.2 K,5.043 MPa (49.77 Atm),154.59 K,0.222 kJ/mol,3.41 kJ/mol,919 J/(kg K)[note],7/5,N/A,0.02658 W/(m K),N/A,N/A,0.011196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000271,317.5 m/s,2,3.44,141 kJ/mol,2.2,1073,RTECSRS2060000,None,p,16,2,Chalcogen,[He]2s22p4,Colorless,Diatomic,CAS7782-44-7,CID977,N/A,N/A,N/A,N/A,Paramagnetic,N/A,1.335×10-6 m3/Kg,4.27184×10-8 m3/mol,1.90772×10-6,1%,0.9%,40%,46%,86%,61%,48 pm,66 pm,152 pm,C12/m1,12,Stable,Stable,N/A,3P2,0.00028,1×10-6
Fluorine,F,9,18.9984032,1.696 g/l[note],-219.6 °C,-188.12 °C,Gas,53.5 K,85.03 K,5.172 MPa (51.04 Atm),144.13 K,0.26 kJ/mol,3.27 kJ/mol,824 J/(kg K)[note],7/5,N/A,0.0277 W/(m K),N/A,N/A,0.011202,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000195,N/A,1,3.98,328 kJ/mol,2.3,9192,RTECSLM6475000,None,p,17,2,Halogen,[He]2s22p5,Colorless,Diatomic,CAS7782-41-4,CID24524,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00004%,0.00005%,0.0087%,0.054%,0.00013%,0.0037%,42 pm,57 pm,147 pm,C12/c1,15,Stable,Stable,N/A,2P3/2,0.0096,0.00002
Neon,Ne,10,20.1797,0.9 g/l[note],-248.59 °C,-246.08 °C,Gas,24.56 K,27.07 K,2.76 MPa (27.24 Atm),44.4 K,0.34 kJ/mol,1.75 kJ/mol,1030 J/(kg K)[note],5/3,N/A,0.0491 W/(m K),N/A,N/A,0.02242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000067,936 m/s,0,N/A,0 kJ/mol,2.2,1913,RTECSQP4450000,None,p,18,2,Noble Gas,[He]2s22p6,Colorless,Monoatomic,CAS7440-01-9,CID23935,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-4.1×10-9 m3/Kg,-8.27×10-11 m3/mol,-3.69×10-9,0.13%,0.1%,N/A,3×10-7%,1.2×10-8%,N/A,38 pm,58 pm,154 pm,"Fm_
3m",225,Stable,Stable,N/A,1S0,0.04,0.00059
Sodium,Na,11,22.98977,0.968 g/cm3,97.72 °C,883 °C,Solid,370.87 K,1156 K,35 MPa (345.4 Atm)[note],2573 K[note],2.6 kJ/mol,97.7 kJ/mol,1230 J/(kg K)[note],N/A,N/A,140 W/(m K),0.00007 K-1,0.927 g/cm3,0.00002375,0.69 MPa,0.5,N/A,6.3 GPa,3.3 GPa,10 GPa,N/A,N/A,3200 m/s,1,0.93,52.8 kJ/mol,4.3,1428,RTECSVY0686000,Natrium,s,1,3,Alkali Metal,[Ne]3s1,Silver,N/A,CAS7440-23-5,CID5360545,Conductor,2.1×107 S/m,4.699999999998×10-8 m Ω,N/A,Paramagnetic,N/A,8.8×10-9 m3/Kg,2×10-10 m3/mol,8.6×10-6,0.002%,0.004%,0.55%,2.3%,1.1%,0.14%,190 pm,166 pm,227 pm,"Im_
3m",229,Stable,Stable,N/A,2S1/2,0.53,0.0007
