Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,DOT_Hazard_Class,DOT_Numbers,RTECS_Number,Alternate_Names,Block,Group,Period,Series,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Autoignition_Point,Flashpoint,Heat_of_Combustion,Gmelin_Number,IUPAC_Period,IUPAC_Group,IUPAC_Number
NA,NA,NA,NA,kg/m^3,K,K,NA,K,K,Pa,K,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m/s,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,%,%,%,%,%,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,K,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,kg/m^3,NA,K,NA,NA,K,Pa,K,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m/s,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,%,NA,%,%,NA,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,kg/m^3,K,K,NA,K,K,Pa,K,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),K-1,kg/m^3,NA,NA,NA,NA,Pa,Pa,Pa,NA,NA,m/s,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S/m,Ohm m,NA,NA,NA,NA,NA,NA,%,%,%,%,%,%,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,K,NA,J/(kg K),NA,NA,NA,NA
NA,NA,NA,NA,kg/m^3,K,K,NA,K,K,NA,NA,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),K-1,kg/m^3,NA,Pa,NA,Pa,Pa,Pa,Pa,NA,NA,m/s,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S/m,Ohm m,NA,NA,NA,NA,NA,NA,%,%,%,%,%,%,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,kg/m^3,K,K,NA,K,K,NA,NA,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),K-1,kg/m^3,NA,NA,NA,Pa,Pa,NA,NA,NA,NA,m/s,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S/m,Ohm m,NA,NA,NA,NA,NA,NA,%,%,%,%,%,%,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,kg/m^3,K,K,NA,K,K,NA,NA,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),K-1,NA,NA,NA,NA,NA,Pa,NA,NA,NA,NA,m/s,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S/m,Ohm m,NA,NA,NA,NA,NA,NA,%,%,%,%,%,%,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,K,NA,J/(kg K),NA,NA,NA,NA
NA,NA,NA,NA,kg/m^3,K,K,NA,K,K,Pa,K,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m/s,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,%,%,%,%,%,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,kg/m^3,K,K,NA,K,K,Pa,K,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m/s,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,%,%,%,%,%,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,kg/m^3,K,K,NA,K,K,Pa,K,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,%,%,%,%,%,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,kg/m^3,K,K,NA,K,K,Pa,K,kJ/mol,kJ/mol,J/(kg K),NA,NA,W/(m K),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m/s,NA,NA,kJ/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,%,NA,%,%,NA,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
