Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,DOT_Hazard_Class,DOT_Numbers,RTECS_Number,Alternate_Names,Block,Group,Period,Series,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Autoignition_Point,Flashpoint,Heat_of_Combustion,Gmelin_Number,Production,Price,IUPAC_Period,IUPAC_Group,IUPAC_Number,IUPAC_Series
Hydrogen,H,1,1.00794,0.0899,14.009999999999991,20.279999999999973,Gas,14.01,20.28,1293000,32.97,0.558,0.452,14300,7/5,NA,0.1805,NA,NA,0.01121,NA,NA,NA,NA,NA,NA,NA,1.000132,1270,1,2.2,72.8,2.1,1966,RTECSMW8900000,,s,1,1,Nonmetal,1s1,Colorless,Diatomic,CAS1333-74-0,CID783,,NA,NA,NA,Diamagnetic,NA,NA,NA,-2.23e-9,75,75,2.4,0.15,11,10,5.3e-11,3.0999999999999996e-11,1.2e-10,P63/mmc,194,Inf,Inf,,2S1/2,0.332,0.011,808.65,NA,NA,Gmelin3,63095734448,7.943,1,1,1,Nonmetal
Helium,He,2,4.002602,0.1785,NA,4.21999999999997,Gas,NA,4.22,227000,5.19,0.02,0.083,5193.1,5/3,NA,0.1513,NA,NA,0.022424,NA,NA,NA,NA,NA,NA,NA,1.000035,970,0,NA,0,2.2,1963,RTECSMH6520000,,s,18,1,Noble Gas,1s2,Colorless,Monoatomic,CAS7440-59-7,CID23987,,NA,NA,NA,Diamagnetic,NA,NA,NA,-1.05e-9,23,23,NA,5.5e-7,7.2e-10,NA,3.0999999999999996e-11,2.8e-11,1.4e-10,"Fm_
3m",225,Inf,Inf,,1S0,0.007,1e-5,NA,NA,NA,Gmelin16294,19952623,3.162,1,18,2,Noble Gas
Lithium,Li,3,6.941,535,453.68999999999994,1615.15,Solid,453.69,1615,67000000,3223,3,147,3570,,NA,85,4.6e-5,512,1.297e-5,NA,0.6,NA,11000000000,4200000000,4900000000,NA,NA,6000,1,0.98,59.6,4.3,1415,RTECSOJ5540000,,s,1,2,Alkali Metal,[He]2s1,Silver,,CAS7439-93-2,CID3028194,Conductor,11000000,9.400000000002e-8,NA,Paramagnetic,NA,NA,NA,1.37e-5,6e-7,6e-9,1.7e-4,0.0017,1.8e-5,3e-6,1.67e-10,1.28e-10,1.82e-10,"Im_
3m",229,Inf,Inf,,2S1/2,71,NA,452.15,NA,-298,Gmelin30,25118864,31.62,2,1,3,Alkali Metal
Beryllium,Be,4,9.012182,1848,1560.15,2743.15,Solid,1560,2743,NA,NA,7.95,297,1820,,NA,190,1.13e-5,1690,4.8767e-6,600000000,5.5,1670000000,130000000000,132000000000,287000000000,0.032,NA,13000,2,1.57,0,6.1,1567,RTECSDS1750000,,s,2,2,Alkaline Earth Metal,[He]2s2,SlateGray,,CAS7440-41-7,CID5460467,Conductor,25000000,3.999999999998e-8,0.026,Diamagnetic,NA,NA,NA,-2.328e-5,1e-7,1e-8,2.9e-6,1.9e-4,6e-11,4e-8,1.12e-10,9.6e-11,NA,P63/mmc,194,Inf,Inf,,1S0,0.0092,3e-5,NA,NA,NA,Gmelin16256,630957,NA,2,2,4,Alkaline Earth Metal
Boron,B,5,10.811,2460,2348.15,4273.15,Solid,2348,4273,NA,NA,50,507,1030,,NA,27,6e-6,2080,4.3943e-6,NA,9.3,49000000000,320000000000,NA,NA,NA,NA,16200,3,2.04,26.7,NA,NA,RTECSED7350000,,p,13,2,Metalloid,[He]2s22p1,Black,,CAS7440-42-8,CID5462311,Insulator,1e-4,10000,NA,Diamagnetic,NA,NA,NA,-2.14e-5,1e-7,2e-7,1.6e-4,8.6e-4,4.4e-4,7e-5,8.7e-11,8.5e-11,NA,"R_
3m",166,Inf,Inf,,2P1/2,760,2.4,NA,NA,NA,Gmelin16262,1584893192,25.12,2,13,5,Metalloid
Carbon,C,6,12.0107,2260,3823.15,4300.15,Solid,3823,4300,NA,NA,105,715,710,,NA,140,7.1e-6,NA,5.3146e-6,NA,0.5,NA,33000000000,NA,NA,NA,2.417,18350,4,2.55,153.9,4.2,1361,RTECSHL4158550,,p,14,2,Nonmetal,[He]2s22p2,Black,,CAS7440-44-0,CID5462310,Conductor,100000,1e-5,NA,Diamagnetic,NA,NA,NA,-1.4e-5,0.5,0.3,1.5,0.18,0.0028,23,6.7e-11,7.6e-11,1.7e-10,P63/mmc,194,Inf,Inf,,3P0,0.0035,1.5e-5,758.15,NA,-393,Gmelin8868,1584893192,1.514,2,14,6,Nonmetal
Nitrogen,N,7,14.0067,1.251,63.04999999999998,77.35999999999999,Gas,63.05,77.36,3390000,126.21,0.36,2.79,1040,7/5,NA,0.02583,NA,NA,0.011197,NA,NA,NA,NA,NA,NA,NA,1.000298,333.6,3,3.04,7,2.2,1977,RTECSQW9700000,,p,15,2,Nonmetal,[He]2s22p3,Colorless,Diatomic,CAS7727-37-9,CID947,,NA,NA,NA,Diamagnetic,NA,NA,NA,-6.8e-9,0.1,0.1,0.14,0.002,5e-5,2.6,5.6e-11,7.1e-11,1.55e-10,P63/mmc,194,Inf,Inf,,4S3/2,1.91,0.0048,NA,NA,NA,Gmelin150,125892541179,6.31,2,15,7,Nonmetal
Oxygen,O,8,15.9994,1.429,54.849999999999966,90.24999999999997,Gas,54.8,90.2,5043000,154.59,0.222,3.41,919,7/5,NA,0.02658,NA,NA,0.011196,NA,NA,NA,NA,NA,NA,NA,1.000271,317.5,2,3.44,141,2.2,1073,RTECSRS2060000,,p,16,2,Chalcogen,[He]2s22p4,Colorless,Diatomic,CAS7782-44-7,CID977,,NA,NA,NA,Paramagnetic,NA,NA,NA,1.90772e-6,1,0.9,40,46,86,61,4.8e-11,6.6e-11,1.52e-10,C12/m1,12,Inf,Inf,,3P2,2.8e-4,1e-6,NA,NA,NA,Gmelin485,79432823472,0.03981,2,16,8,Chalcogen
Fluorine,F,9,18.9984032,1.696,53.54999999999998,85.02999999999997,Gas,53.5,85.03,5172000,144.13,0.26,3.27,824,7/5,NA,0.0277,NA,NA,0.011202,NA,NA,NA,NA,NA,NA,NA,1.000195,NA,1,3.98,328,2.3,9192,RTECSLM6475000,,p,17,2,Halogen,[He]2s22p5,Colorless,Diatomic,CAS7782-41-4,CID24524,,NA,NA,NA,,NA,NA,NA,NA,4e-5,5e-5,0.0087,0.054,1.3e-4,0.0037,4.2e-11,5.7e-11,1.47e-10,C12/c1,15,Inf,Inf,,2P3/2,0.0096,2e-5,NA,NA,NA,Gmelin16281,2511886432,NA,2,17,9,Halogen
Neon,Ne,10,20.1797,0.9,24.559999999999974,27.069999999999965,Gas,24.56,27.07,2760000,44.4,0.34,1.75,1030,5/3,NA,0.0491,NA,NA,0.02242,NA,NA,NA,NA,NA,NA,NA,1.000067,936,0,NA,0,2.2,1913,RTECSQP4450000,,p,18,2,Noble Gas,[He]2s22p6,Colorless,Monoatomic,CAS7440-01-9,CID23935,,NA,NA,NA,Diamagnetic,NA,NA,NA,-3.69e-9,0.13,0.1,NA,3e-7,1.2e-8,NA,3.8e-11,5.8e-11,1.5399999999999999e-10,"Fm_
3m",225,Inf,Inf,,1S0,0.04,5.9e-4,NA,NA,NA,Gmelin16211,5011872,316.2,2,18,10,Noble Gas
